"species","genus","reg"
"Megachile pyrenaea","Megachile",4
"Nomada tormentillae","Nomada",4
"Nomada villosa","Nomada",4
NULL,"Electrapis",4
NULL,"Panurginus",4
NULL,"Pseudoanthidium",4
"Eckfeldapis electrapoides","Eckfeldapis",3
"Lasioglossum lissonotum","Lasioglossum",3
"Osmia versicolor","Osmia",3
"Anthophora fulvitarsis","Anthophora",3
"Dasypoda argentata","Dasypoda",3
NULL,"Lithurgus",3
"Lasioglossum alpigenum","Lasioglossum",3
"Colletes impunctatus","Colletes",3
"Rophites trispinosus","Rophites",3
"Colletes halophilus","Colletes",3
"Bombus cullumanus","Bombus",3
"Halictus ligatus","Halictus",3
"Epeolus marginatus","Epeolus",3
"Megachile addenda","Megachile",3
"Seladonia submediterranea","Seladonia",3
"Epeolus fallax","Epeolus",3
"Stelis nasuta","Stelis",3
"Andrena barbareae","Andrena",3
"Lasioglossum sphecodimorphum","Lasioglossum",3
"Amegilla cingulata","Amegilla",3
NULL,"Dioxys",3
"Biastes emarginatus","Biastes",3
"Lasioglossum tarsatum","Lasioglossum",3
"Bombus lapponicus","Bombus",3
"Andrena cinerea","Andrena",3
"Nomada symphyti","Nomada",3
"Anthidium septemspinosum","Anthidium",3
"Lasioglossum laeve","Lasioglossum",3
"Andrena granulosa","Andrena",3
NULL,"Podalirius",2
NULL,"Protobombus",2
"Hoplitis acanthophora","Hoplitis",2
"Lasioglossum pauperatum","Lasioglossum",2
"Prohalictus schemppi","Halictus",2
NULL,"Tetralonia",2
"Bombus abavus","Bombus",2
"Osmia carbonum","Osmia",2
"Lasioglossum quadrisignatum","Lasioglossum",2
"Andrena simillima","Andrena",2
"Andrena paucisquama","Andrena",2
"Protobombus pristinus","Protobombus",2
"Andrena montana","Andrena",2
"Xylocopa friesei","Xylocopa",2
"Melitta melanura","Melitta",2
"Xylocopa micans","Xylocopa",2
"Xylocopa senilis","Xylocopa",2
"Xylocopa tenuiscapa","Xylocopa",2
"Lasioglossum cupromicans","Lasioglossum",2
"Rhodanthidium septemdentatum","Rhodanthidium",2
NULL,"Anthophorites",2
"Lasioglossum buccale","Lasioglossum",2
"Lasioglossum angusticeps","Lasioglossum",2
"Anthophorites mellona","Anthophorites",2
"Andrena rogenhoferi","Andrena",2
NULL,"Trachusa",2
"Lasioglossum subhirtum","Lasioglossum",2
"Anthophorites veterana","Anthophorites",2
"Apis adamitica","Lithurgus",2
"Dufourea alpina","Dufourea",2
"Dioxys cincta","Dioxys",2
"Dasypoda morawitzi","Dasypoda",2
"Bombus quadricolor","Bombus",2
"Bombus sichelii","Bombus",2
"Apis cerana","Apis",2
"Colletes coriandri","Colletes",2
"Coelioxys brevis","Coelioxys",2
"Electrapis micheneri","Electrapis",1
"Bombus randeckensis","Bombus",1
NULL,"Nomioides",1
"Colletes acutus","Colletes",1
"Ammobates rufiventris","Ammobates",1
"Ceratina chalcites","Ceratina",1
NULL,"Rophites",1
"Colletes acutiformis","Colletes",1
"Colletes abeillei","Colletes",1
"Coelioxys lanceolata","Coelioxys",1
NULL,"Systropha",1
NULL,"Thyreus",1
"Osmia cornifrons","Osmia",1
"Xylocopa hydrobiae","Xylocopa",1
"Osmia antiqua","Osmia",1
"Osmia nigra","Osmia",1
"Nomada subcornuta","Nomada",1
"Ceratina gravidula","Ceratina",1
"Nomada mutabilis","Nomada",1
"Andrena nitidula","Andrena",1
"Andrena primaeva","Andrena",1
"Andrena rhenana","Andrena",1
"Melitta dimidiata","Melitta",1
"Panurginus tyrolensis","Panurginus",1
"Andrena sardoa","Andrena",1
"Andrena fimbriata","Andrena",1
"Megachile spinotulata","Megachile",1
"Megachile sicula","Megachile",1
"Peponapis pruinosa","Peponapis",1
"Perdita fidissima","Perdita",1
"Protobombus messelensis","Protobombus",1
"Protosmia minutula","Protosmia",1
"Megachile canescens","Megachile",1
"Pseudoanthidium tenellum","Pseudoanthidium",1
"Pygomelissa lutetia","Pygomelissa",1
"Megachile analis","Megachile",1
"Lasioglossum sexnotatulum","Lasioglossum",1
"Anthidium montanum","Anthidium",1
"Anthophora atroalba","Anthophora",1
"Lasioglossum marshalli","Lasioglossum",1
"Anthophora crassipes","Anthophora",1
"Sphecodes intermedius","Sphecodes",1
"Anthophora dispar","Anthophora",1
"Andrena curvana","Andrena",1
"Lasioglossum flavipes","Lasioglossum",1
"Anthophorites longaeva","Anthophorites",1
"Anthophorites titania","Anthophorites",1
"Hylaeus tyrolensis","Hylaeus",1
"Anthophorites tonsa","Anthophorites",1
"Sphecodes scrobiculatus","Sphecodes",1
"Hylaeus modestus","Hylaeus",1
"Hylaeus glacialis","Hylaeus",1
"Hylaeus digitatus","Hylaeus",1
"Apis vetustus","Apis",1
"Biastes brevicornis","Biastes",1
"Hoplosmia bidentata","Hoplosmia",1
"Succinapis micheneri","Succinapis",1
"Bombus affinis","Bombus",1
"Bombus atavus","Xylocopa",1
"Halictus semitectus","Halictus",1
"Tetraloniella strigata","Tetraloniella",1
"Thyreus histrionicus","Thyreus",1
"Bombus fragrans","Bombus",1
"Bombus jurinei","Xylocopa",1
"Triepeolus tristis","Triepeolus",1
"Xylocopa anthophoroides","Xylocopa",1
"Osmia maritima","Osmia",1
"Halictus luganicus","Halictus",1
"Glyptapis fuscula","Glyptapis",1
"Friccomelissa schopowi","Friccomelissa",1
"Eucera notata","Eucera",1
"Eucera mortua","Anthidium",1
"Epeolus schummeli","Epeolus",1
NULL,"Chalicodoma",1
"Epeolus montanus","Epeolus",1
"Andrena bicarinata","Andrena",1
NULL,"Dufourea",1
NULL,"Epeoloides",1
"Electrapis prolata","Eckfeldapis",1
